aap_1_1_source_confiance_autre,aap_1_1_source_confiance_autre_recoded,aap_3_canal_information_autre,aap_3_canal_information_autre_recoded,sante_5_deces_cause_autre,sante_5_deces_cause_autre_recoded,nfi_propr_abri_autre,nfi_propr_abri_autre_recoded
,,Radio,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio,radio,,,,
,,Par la radio,radio,,,,
,,Nous voulons bien ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½cou,radio,,,,
,,Par la radio.,radio,,,,
,,Par la radio,radio,,,,
,,Radio nationale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio locale,radio,,,,
,,Radio nationale,radio,,,,
,,Radio nationale,radio,,,,
,,Par la radio mais hï¿½ï¿½ï¿½ï¿½ï¿½ï¿½las la radio nationale ne fonctionne pas sur toute ï¿½,radio,,,,
,,Radio communautaire,radio,,,,
,,Radio communautaire,radio,,,,
,,Radio communautaire,radio,,,,
,,Radio communautaire,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Par lettre,autre,,,,
,,Par radio,radio,,,,
,,Radio FM,radio,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre,autre,,,,
,,Par lettre ,autre,,,,
,,Par lettre,autre,,,,
,,Radio FM,radio,,,,
,,Radio,radio,,,,
,,Radio,radio,,,,
,,Radio et les passants,autre,,,,
,,Radio et les passants,autre,,,,
,,Radio et les passants,autre,,,,
,,Radio et les passants,autre,,,,
,,Radio,radio,,,,
,,Radio et tï¿½ï¿½ï¿½ï¿½ï¿½ï¿½lï¿½ï¿,autre,,,,
,,Les passants,face_a_face,,,,
,,Les parents et les passants,face_a_face,,,,
,,Les passants,face_a_face,,,,
,,Les passants,face_a_face,,,,
,,Les parents et les passants,face_a_face,,,,
,,Radio et les passants,autre,,,,
,,Par la radio,radio,,,,
,,Par la radio,radio,,,,
,,Le chef du quartier,face_a_face,,,,
,,Les autoritï¿,face_a_face,,,,
,,Les autoritï¿,face_a_face,,,,
,,Les autoritï¿½ï¿½ï¿½ï,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Les autoritï¿,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Les autoritï¿,face_a_face,,,,
,,Les autoritï¿,face_a_face,,,,
,,Le chef du quartier,face_a_face,,,,
,,Les autoritï¿½ï¿½ï¿½ï,face_a_face,,,,
